"Label (Grouping)","Pennsylvania!!Total!!Estimate","Pennsylvania!!Total!!Margin of Error","Pennsylvania!!Car, truck, or van -- drove alone!!Estimate","Pennsylvania!!Car, truck, or van -- drove alone!!Margin of Error","Pennsylvania!!Car, truck, or van -- carpooled!!Estimate","Pennsylvania!!Car, truck, or van -- carpooled!!Margin of Error","Pennsylvania!!Public transportation!!Estimate","Pennsylvania!!Public transportation!!Margin of Error","Pennsylvania!!Worked from home!!Estimate","Pennsylvania!!Worked from home!!Margin of Error"
"        Service occupations","16.1%","±0.3","16.2%","±0.4","21.5%","±1.1","23.6%","±2.1","7.3%","±0.5"
"        Sales and office occupations","18.7%","±0.3","18.6%","±0.3","17.2%","±1.1","17.7%","±1.6","20.8%","±0.8"
"        Natural resources, construction, and maintenance occupations","7.4%","±0.2","8.4%","±0.2","10.4%","±0.8","2.6%","±0.7","2.9%","±0.4"
"        Production, transportation, and material moving occupations","13.4%","±0.2","15.0%","±0.3","18.9%","±1.1","10.0%","±1.3","4.2%","±0.4"
"        Military specific occupations","0.1%","±0.1","0.1%","±0.1","0.0%","±0.1","0.1%","±0.1","0.0%","±0.1"
"    INDUSTRY","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","1.2%","±0.1","1.1%","±0.1","1.1%","±0.2","0.2%","±0.1","1.4%","±0.3"
"        Construction","6.0%","±0.2","6.7%","±0.2","8.5%","±0.8","1.7%","±0.5","3.3%","±0.3"
"        Manufacturing","10.9%","±0.2","12.0%","±0.3","11.6%","±0.9","4.4%","±0.8","8.4%","±0.5"
"        Wholesale trade","2.1%","±0.1","2.2%","±0.1","1.8%","±0.4","1.7%","±0.6","2.1%","±0.3"
"        Retail trade","10.9%","±0.2","11.6%","±0.3","12.6%","±0.9","10.3%","±1.3","6.5%","±0.5"
"        Transportation and warehousing, and utilities","5.8%","±0.2","6.7%","±0.2","5.9%","±0.7","5.0%","±1.1","2.9%","±0.3"
"        Information and finance and insurance, and real estate and rental and leasing","7.9%","±0.2","6.5%","±0.2","5.2%","±0.6","8.5%","±1.1","17.0%","±0.7"
